City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Shenjiamen,CN,2021-05-11 06:54:26,29.9576,122.298,67.17,98,100,8.3,light rain
250,Arrifes,PT,2021-05-11 06:54:27,37.7667,-25.7,62.6,94,75,16.11,broken clouds
251,Jacareacanga,BR,2021-05-11 06:54:27,-6.2222,-57.7528,70.79,98,61,2.01,broken clouds
252,Yagodnoye,RU,2021-05-11 06:54:27,62.55,149.6667,37.0,68,88,1.57,overcast clouds
253,Semey,KZ,2021-05-11 06:54:28,50.4111,80.2275,66.2,20,0,15.66,clear sky
254,Penzance,GB,2021-05-11 06:54:28,50.1186,-5.5371,50.0,81,20,12.66,few clouds
255,Mehamn,NO,2021-05-11 06:54:28,71.0357,27.8492,41.0,60,0,8.05,clear sky
256,Lazaro Cardenas,MX,2021-05-11 06:54:28,17.9583,-102.2,79.0,86,100,2.89,overcast clouds
257,Cedar City,US,2021-05-11 06:54:29,37.6775,-113.0619,46.0,42,1,6.91,clear sky
258,Kefamenanu,ID,2021-05-11 06:52:18,-9.4467,124.4781,79.84,58,35,9.55,scattered clouds
259,Zhuhai,CN,2021-05-11 06:54:29,22.2769,113.5678,89.6,70,20,12.66,few clouds
260,Springbok,ZA,2021-05-11 06:54:30,-29.6643,17.8865,69.8,23,0,9.22,clear sky
